cat_id	cat_title
5364	Football_competitions
5705	Greek_Islands
882	14th_century_books
1155	1600
158625	Computational_chemistry
1315	1660
1481843	2010s_LGBT_television_series
5395	Former_monarchies
576249	Provinces_of_Armenia
5593	German_cycling_teams
706	1412
5357	Football
1204	1614_deaths
1479409	January_2017_events
1161672	Settlements_in_Varmland_County
195682	Cainozoic
1306	1657
1045	1560_births
755	1442_births
645	1381
1585640	Discographies_of_Canadian_artists
10777	Towers
5622	German_physicists
1641395	Settlements_in_Chariton_County,_Missouri
1580161	Units_of_force
1557	1750s_births
1577	1757_deaths
1119	1589
1465	1716_births
5585	German_automobile_companies
1225	1622_births
25229	1666_deaths
1484697	1870s_establishments_in_California
1518480	Establishments_in_New_Spain_by_century
283143	Prime_Ministers_of_Haiti
1026	1553
5388	Former_countries_navigational_boxes
1572417	Sports_organizations_in_Oceania
5324	Firearms
608	1361
997	1542_deaths
593921	NASA_spacecraft
11091	Sexual_abuse
4735	Composers
1658999	Use_British_English
5327	First_Ladies_of_the_United_States
878	14_births
1494	1727
1581005	Infectious_disease_deaths_in_Argentina
914	1510_deaths
619195	1832_establishments
930	1516
1268	1640_deaths
1471	1718_deaths
5628	German_politicians_of_the_Left_Party
615	1367
1479947	1990s_drama_television_series
1270	1640s
1453	1712_births
1021	1550s_births
1406704	Dover,_Delaware
1477298	MEPs_for_France
1107	1584_deaths
915	1510s
1533	1741
1568	1754_births
1079	1572
1538791	Movies_directed_by_Eliseo_Subiela
705	1411
1543265	Chembox_CAS_registry_number_not_linked
1477418	Trade_unions_in_Germany
5358	Football_(soccer)
1431	1704
5260	Fairy_tales
1053950	Sportspeople_with_disabilities,_type_T44
1542205	BLPs_needing_more_sources_from_March_2011
1134959	Business_people_from_Georgia_(U.S_state)
1668249	American_superhero_comedy_television_series
1148	15th_century
976	1535_births
5635	Germanic_languages
1445	1710_births
960	1528_deaths
1486226	1833_establishments_in_Sri_Lanka
1518260	19th-century_establishments_in_South_Carolina
977	1535_deaths
1076	1570s_deaths
1112	1587_births
807	1469_births
10692	1110s_births
11025	1950s_in_sports
1240	1629
1199165	2010s_by_country
1114	1588
857	1490s_births
1660993	2021_in_Canadian_television
139880	Waverley
1543	1745
1475843	Jewish_British_academics
186059	2013_in_association_football
1059	1564_deaths
1538	1743_births
1014782	Hong_Kong_singers
1396	1690s_deaths
1540	1744
1597411	Romanian_communist_politicians
1479742	CS1_Azerbaijani-language_sources_(az)
835	1480
1502428	1932_establishments_in_the_United_Kingdom
1582547	UEFA_Euro_2000_templates
489515	Actors_from_Connecticut
229600	Hemiptera
1067	1567_deaths
589567	411_BC
887	1500
890	1500s
5598	German_federal_ministries
1475828	Articles_with_dead_external_links_from_July_2017
1359544	Kingston_upon_Hull
1631495	Movies_by_date
1216	161_births
1596	1764_deaths
10804	Formula_One
1609284	People_from_Puy-de-Dôme
1203946	Somalian_people
499024	Municipalities_in_Ōita_Prefecture
5637	Germanic_peoples
927	1514_deaths
1462	1715_deaths
1085	1573_births
1598821	Mechanical_engineering
922	1512_births
1603752	Footballers_from_Fife
1000324	Settlements_in_North_Carolina
920	1511_deaths
1216594	People_from_Mumbai
844	1483_births
5588	German_communists
1399	1693_births
5329	Fishing
25219	Neighborhoods_of_Los_Angeles
10526	Humor
5559	Geography_of_Turkey
1582680	Pages_needing_to_be_simplified_from_October_2022
1594	1764
938	1519_deaths
1024	1551_births
1584677	Ski_areas_and_resorts_in_Italy
1523738	American_male_actors
1245	1630s
5390	Former_countries_of_the_Interwar_period
1584596	1969_by_continent
1048	1560s_births
5714	Green_Day
1135438	1231_deaths
1584772	Kazakh_language
1417	1700
1592	1763
5345	Flowers
1619	1773
1591	1762_births
1046	1560_deaths
978	1536
1002806	Santiago_de_Chile
138981	Foreign_affairs_ministries
923	1512_deaths
983	1537_deaths
984	1539
1668202	2010s_American_LGBT_television_series
5610	German_mathematicians
996	1542_births
1203965	Settlements_in_Guinea
932	1516_deaths
740	1432
1570202	Companies_based_in_the_United_States
869	1496
1258	1636
1477301	Sex_crimes
1611	1770s
11060	Fellows_of_the_Royal_Society
10529	Christians_by_occupation
176688	Qatar
138976	Language_education
1487	1724
1330	1665_deaths
1610965	British_essays
1658229	2014_British_television_series_endings
1434506	Singers_from_Essex
1227	1623_births
158477	Asian_Games
1528	1740_births
1392	1690
5350	Folklore
609	1362
1143	1598_deaths
5613	German_musical_entertainers
5574	Georgia_(U.S._state)_counties
1653243	Universities_in_Spain
1426	1702
1039	1558
5578	German-speaking_countries
1474520	18th-century_American_politicians
952	1525
1282	1645
5322	Finnish_politicians
1524	1739
1667418	21st_century_in_Spanish_television
913	1510_births
1062	1566
11040	Nazi_Germany
25222	Settlement_articles_requiring_maintenance
1595	1764_births
741	1433
1182	1609_births
1203	1614_births
879	14_deaths
621	1370
11032	Baleen_whales
1590	1762
1592441	Geography_of_Laos
1406825	Paddington
1400	1694
1578	1758
1488281	1990s_in_Africa
1023	1551
4881	Cycling_templates
1631581	2003_establishments_in_the_United_Arab_Emirates
363601	People_from_Davenport,_Iowa
1068	1568
1008354	Saskatoon
1539	1743_deaths
1582317	Disease-related_deaths_in_Alaska
5343	Florida_counties
1362	1679
1319	1660s_deaths
5602	German_football_clubs
1501538	Righteous_Among_the_Nations
1487652	Tughlaq_dynasty
985	1539_births
870	1497
11033	Soricomorphs
5387	Former_countries_in_Europe
1522905	1976_comedy_movies
921	1512
416	1248_births
1202	1614
1658604	2010s_Canadian_animated_comedy_television_series
1284	1646_births
5715	Greenland
4862	Cult_movies
1179	1608_births
1164	1602
5616	German_organists
880	14th_century
1610977	1930_establishments_in_Italy
1496373	People_from_Alexandria,_Virginia
752	1440s_deaths
1584606	Nepalese_activists
1604	1768_births
1484703	1824_establishments_in_the_United_States
1455	1713
1547	1747
1470	1718_births
1563362	Chernobyl
718765	Shared_IP_header_templates
1588	1760s_deaths
1440332	Cities_in_Goiás
9371	1707_establishments
897	1503_deaths
1584199	Banks_of_Nigeria
4864	Cumbria
1127	1591
1200	1613
1146	15_BC
1070	1569
5606	German_inventors
1465291	2011_establishments_in_the_United_Kingdom
10775	Bambi
1013	1548_deaths
138973	Cultural_organizations
763	1446_deaths
1581006	Infectious_disease_deaths_in_Israel
1051	1561_births
1610966	Islamic_texts
5325	Firefighting
5709	Greek_mythology
10773	1929_in_sports
1468535	People_from_Odisha
1356	1676_deaths
1653244	Pages_in_need_of_copyedit_from_June_2025
1500445	2000s_in_Belize
6178	Lamps
5399	Former_polities_of_the_Cold_War
1584564	Secretaries_of_State_for_Wales
1490809	2016_in_Pennsylvania
1586	1760s
1516	1735_births
1106	1584
593951	ESA_spacecraft
1662159	21st-century_American_crime_drama_television_series
1556548	19th-century_establishments_in_Romania
1424102	Medalists_at_the_1956_Summer_Olympics
1668248	1990s_American_comedy_television_series_by_genre
1473976	Kansas_City_Athletics
1529556	Settlements_in_DuPage_County,_Illinois
1653665	Scooby-Doo_(movie_series)
638	1378
1248	1632
988	1540_births
1668632	Montreal_Canadiens_coaches
1058	1564_births
963	1530
4869	Cycle_races
1610974	1930_establishments_in_the_United_Kingdom
1508516	Pages_using_military_navigation_subgroups_without_wide_style
5261	Falconiformes
1406531	Disease-related_deaths_in_Colorado
838	1480s_births
1405767	Articles_lacking_sources_from_May_2015
1479914	2010s_drama_television_series
1581011	1870_establishments_in_the_United_Kingdom
5398	Former_political_parties_in_Germany
97982	Hamilton_County,_Florida
4859	Cuban_politicians
1456	1713_births
1095	1579
495575	Transport_in_Sweden
5624	German_poets
1004	1545_births
1394	1690s
1266	1640
1584592	Cardi_B_songs
235102	English_families
5713	Greek_politicians
10707	1961_in_sports
1482237	Pages_using_Infobox_sportsperson_with_unknown_parameters
643	1380s_births
1584595	1980_by_continent
1002	1544_births
1307	1657_births
196908	Prime_Ministers_of_Turkey
1667731	Kanpei_Taisha
11037	George_Washington
5589	German_companies
1469	1718
5344	Flowering_plants
1668767	1890s_establishments_in_Nebraska
5340	Florence
937272	Italian_stage_actors
1584299	Religious_leaders_from_Naples
1583876	People_from_Hasselt
1643901	The_Lion_King_songs
1580994	Football_in_Honduras
158624	Theoretical_chemistry
5365	Football_in_Austria
4899	Dallas,_Texas
1552	1749_deaths
1205	1615
1443	1709_births
1019836	Toledo_Province
7055	Poets
4734	Complex_pages
1663649	Remakes_of_Indian_television_series
1519961	Writers_from_Oklahoma_City
97992	Holmes_County,_Florida
1481837	Potentially_illegible_userboxes
139877	Mendip
617	1368
769	1450s
5701	Great_Lakes
900	1505_births
1652957	2nd-century_people_by_nationality
846	1484
681680	Carnivora
1664671	Cities_in_San_Luis_Obispo_County,_California
5716	Greenlandic_people
1071	1569_deaths
1610961	American_essays
1177	1607_births
954	1526
10774	Ice_hockey_coaches
1196	1611
9378	Goniatitina
499514	Singers_from_Vermont
1500095	1889_establishments_in_Nebraska
803	1467
1632763	Movies_directed_by_Alan_Clarke
176253	German_chemists
1047	1560s
1328	1665
1582	1759_deaths
11089	1971_establishments
1391	168_BC
1421952	Alumni_by_university_or_college_in_the_United_States
5627	German_politicians_of_Alliance_'90/The_Greens
138986	Departments_of_the_United_Kingdom_Government
5320	Finnish_mythology
1135437	1195_births
5376	Footwear
770	1450s_births
1108	1585
1613301	Footballers_from_Porto_Alegre
1316369	2014_in_the_United_Kingdom
872	1498
1544	1745_deaths
5626	German_politicians
1203925	Politics_of_South_Africa
1003699	Hanover
1668903	British_crime_drama_television_series_by_decade
1610969	Crossword_makers
1508291	Governors-General_of_Papua_New_Guinea
1527	1740
1631586	Single_chart_usages_for_UKrock
5254	Fabales
1507	1731_births
1441541	Certification_Table_Entry_usages_for_Australia
