cl_from	cl_to
498542	1003685
1022765	312430
169140	1308
947416	312430
873728	312430
284002	10787
478879	10773
478879	10789
1174132	312430
1201852	312430
92765	1319
22371	176384
1230177	1668249
26152	517858
66308	176437
1135164	312430
638400	10837
177061	963
15591	616
1122788	1598821
706605	417
706605	10557
15590	617
18095	176489
24278	175665
15589	618
333423	10771
21253	685
21434	686
21391	687
21326	606
943939	312430
1158493	312430
770683	186059
14230	619
21238	607
21147	608
20861	609
20437	610
20403	611
20080	176651
20334	612
19904	613
10598	176672
18958	614
20981	176682
18552	615
8337	176688
18402	627
12979	620
368692	1474076
983923	1474076
18374	628
18208	638
139634	638
18049	636
139636	636
1070312	312430
842004	636
842004	639
18048	639
139638	639
18039	637
141343	637
17474	640
900790	312430
8234	643
17454	645
16299	646
1035448	1475828
714837	1475843
368851	1475843
16296	647
850614	312430
871730	1610973
12978	621
1172718	312430
16260	648
551753	312430
598259	312430
12656	650
500394	312430
1094948	312430
915789	5574
837139	312430
811900	312430
460126	809
854759	312430
2898	651
76111	312430
967409	10530
967409	312430
1124430	312430
111922	1441541
554117	1441541
111930	1441541
940226	1625786
2923	652
2924	653
460698	186073
74002	1406825
937644	312430
128217	4862
71898	1406825
1055394	312430
398984	1406825
891076	312430
670068	186058
235045	186058
129248	186057
129248	186058
691205	186057
968363	4899
822690	4859
110764	9376
820758	4859
909505	312430
822696	4859
579914	312430
657059	312430
1072804	312430
126406	9377
640815	312430
741546	312430
741546	1582020
63942	312430
63942	1582020
407413	416
407413	4739
1203959	9377
1111275	4862
1120075	312430
104165	4739
113810	9378
741524	312430
1011727	312430
954395	312430
178355	11097
1210646	1479409
741517	312430
979157	312430
25410	312430
741531	312430
246355	4862
741536	312430
1099225	1019394
869087	1658604
625525	10783
3978	622
202567	5390
597698	1241
684693	1501538
822722	4862
140054	4881
16760	4741
917707	4741
917707	5256
1186515	1581287
1084517	4741
180972	4741
140059	4881
140059	1581287
10139	4881
1152346	4881
792884	4741
416374	1406825
519695	1465303
519663	1465312
83909	312430
242283	1465303
243282	1465312
243295	1465291
143282	4741
789312	4864
166714	1019394
622144	4741
229852	1519524
1145094	4896
309182	9368
649416	4882
283742	1668249
821455	9368
302786	4742
302786	1269656
284126	4742
284126	5664
559755	9368
822927	4861
354479	5664
415234	186111
361714	186111
399314	1440136
1008020	4896
559749	9370
821538	9370
481247	1269656
761300	4882
559743	9370
559743	9371
509273	1440159
649415	4882
